centre_name,stamp_image,location,contacts,site_link,latitude,longitude
All 4 Diving Indonesia,gf_stamp_gold.png,,all4divingindonesia.com | info@all4divingindonesia.com,https://www.all4divingindonesia.com,,
Ocean Gravity Dive Center Bali,gf_stamp_silver.png,,oceangravitybali.com | contact@oceangravitybali.com,https://www.oceangravitybali.com,,
Ceningan Divers,gf_stamp_gold.png,,ceningandivers.com | info@ceningandivers.com,https://ceningandivers.com/,,
Legend Diving Nusa Lembongan,gf_stamp_gold.png,,divinglembongan.com | conservation@divinglembongan.com,https://www.divinglembongan.com,,
Blue Corner Dive,gf_stamp_digital.png,,bluecornerdive.com | info@bluecornerdive.com,https://www.bluecornerdive.com,,
AquaMarine Diving - Bali,gf_stamp_silver.png,,aquamarinediving.com | environment@aquamarinediving.com,https://www.aquamarinediving.com/,,
Azul Komodo,gf_stamp_silver.png,,azulkomodo.com | azulkomodo@gmail.com,https://azulkomodo.com/,,
Dive Komodo (Elang Laut boat),gf_stamp_silver.png,,divekomodo.com | info@divekomodo.com,https://www.divekomodo.com,,
DRAGON DIVE KOMODO DIVE RESORT,gf_stamp_silver.png,,dragondivekomodo.com | diving@dragondivekomodo.com,https://www.dragondivekomodo.com,,
Mikumba Diving – Nusantara,gf_stamp_silver.png,,mikumbadiving.com | info@mikumbadiving.com,https://www.mikumbadiving.com,,
Scuba Junkie Komodo,gf_stamp_silver.png,,scubajunkiekomodo.com | komodo@scubajunkie.com,https://www.scubajunkiekomodo.com,,
Sea Creatures Diving Komodo,gf_stamp_silver.png,,seacreaturesdiving.com | info@seacreaturesdiving.com,https://www.seacreaturesdiving.com,,
Uber Scuba Komodo,gf_stamp_silver.png,,uberscubakomodo.com | dive@uberscubakomodo.com,https://uberscubakomodo.com/,,
Wunderpus Liveaboard,gf_stamp_silver.png,,wunderpusliveaboard.com | wunderpusmanagement@gmail.com,https://wunderpusliveaboard.com,,
Blue Marlin Komodo,gf_stamp_bronze.png,,bluemarlindive.com | info@bluemarlinkomodo.com,https://www.bluemarlindive.com,,
NEREN DIVING KOMODO,gf_stamp_bronze.png,,nerendivingkomodo.net | nerendivingkomodo@gmail.com,https://www.nerendivingkomodo.net/,,
Indo Master - Master Liveaboards,gf_stamp_digital.png,,masterliveaboards.com | guislain.p@masterliveaboards.com,https://masterliveaboards.com/,,
Maika Komodo Tour & Diving,gf_stamp_digital.png,,komodoislandtour.com | info@maikakomodotour.com,https://www.komodoislandtour.com/,,
Bali Dive Resort Amed,gf_stamp_silver.png,,balidiveresortandspa.com | amed@balidiveresortandspa.com,https://www.balidiveresortandspa.com,,
Bali Dive Resort and Spa,gf_stamp_silver.png,,balidiveresortandspa.com | info@balidiveresortandspa.com,https://www.balidiveresortandspa.com,,
Divine Divers,gf_stamp_silver.png,,divinedivers.com | info@divinedivers.com,https://www.divinedivers.com,,
Gangga Divers @ Lotus Bungalows,gf_stamp_silver.png,,lotusbungalows.com | dive@lotusbungalows.com,https://www.lotusbungalows.com,,
Intrinity Divers,gf_stamp_silver.png,,intrinitydivers.com | dive@intrinitydivers.com,https://www.intrinitydivers.com,,
Legend Diving Nusa Penida,gf_stamp_silver.png,,penidadivecenter.com | info@penidadivecenter.com,https://www.penidadivecenter.com,,
Purple Dive Penida,gf_stamp_silver.png,,purpledivepenida.com | info@purpledivepenida.com,https://www.purpledivepenida.com,,
Scuba Junkie Penida,gf_stamp_silver.png,,scubajunkiepenida.com | penida@scubajunkie.com,https://www.scubajunkiepenida.com/,,
Bunaken Oasis Dive Resort and Spa,gf_stamp_digital.png,,bunakenoasis.com | general.manager@bunakenoasis.com,https://www.bunakenoasis.com,,
La Galigo Liveaboard,gf_stamp_digital.png,,lagaligoliveaboard.com | info@lagaligoliveaboard.com,https://www.lagaligoliveaboard.com/,,
Meridian Adventure Dive Resort - Raja Ampat,gf_stamp_digital.png,,raja.meridianadventuredive.com | dive@meridianadventuresdive.com,https://raja.meridianadventuredive.com/,,
Papua Diving Resorts - Sorido Bay Resort and Kri Eco Resort,gf_stamp_digital.png,,papua-diving.com | info@papua-diving.com,https://papua-diving.com,,
Solitude Lembeh Resort,gf_stamp_digital.png,,solitude-lembeh.com | anna@solitude-lembeh.com,https://www.solitude-lembeh.com,,
Abyss Ocean World,,,Abyssoceanworld.com | info@abyssoceanworld.com,https://www.Abyssoceanworld.com,,
Aqura Dive,,,aquradive.com | manager@aquradive.com,https://aquradive.com/,,
Bali Crystal Divers,,, | info@crystal-divers.com,https://,,
Bali Diving Academy Lembongan,,,scubali.com | info@scubali.com,https://www.scubali.com,,
Bali Diving Academy Sanur,,,scubali.com | info@scubali.com,https://www.scubali.com,,
Blue Season Bali,,,baliocean.com | diving@blueseasonbali.com,https://www.baliocean.com,,
Bluemotion Banda,,,dive-bluemotion.com | info@dive-bluemotion.com,https://www.dive-bluemotion.com,,
Bunaken Cha Cha Nature Resort,,,bunakenchacha.com | rafd@bunakenchacha.com,http://www.bunakenchacha.com,,
Bunaken Divers Seabreeze Resort,,,bunakendivers.com | info@bunakendivers.com,http://www.bunakendivers.com,,
Celebes Divers,,,divenorthsulawesi.com/celebes_divers.html | info@celebesdivers.com,http://www.divenorthsulawesi.com/celebes_divers.html,,
Critter Junkies Ambon,,,critterjunkies.com | arthur@critterjunkies.com,https://critterjunkies.com,,
Dive Bluemotion,,,dive-bluemotion.com | info@dive-bluemotion.com,https://www.dive-bluemotion.com,,
Diving Indo,,, | divingindo@gmail.com,https://,,
DPM Diving  Penida,,,dpmdiving.com | nusa@dpmdiving.com,https://www.dpmdiving.com,,
Easy Divers Bali,,,easy-divers.eu | contact@easy-divers.eu,https://www.easy-divers.eu/,,
Eco Divers,,,eco-divers.com | luca.vaime@eco-divers.com,http://www.eco-divers.com,,
Flores XPirate Dive Camp,,,xpiratesdivecamp.com | info@floresxp.com,https://www.xpiratesdivecamp.com,,
Fresh Fins Diving,,,freshfinsdiving.com | hello@freshfinsdiving.com,https://www.freshfinsdiving.com,,
Kungkungan Bay Resort (KBR),,,divekbr.com | tim.gurney@divekbr.com,http://www.divekbr.com,,
Lembeh Divers Resort,,,lembehresort.com | divecenter@lembehresort.com,http://www.lembehresort.com,,
Living Colours,,,livingcolours.com | info@livingcoloursdiving.com,http://www.livingcolours.com,,
Living Seas - Bali,,,bali.livingseas.asia | leon@livingseas.asia,https://bali.livingseas.asia/,,
Lumbalumba Diving,,,lumbalumbadiving.com | info@lumbalumbadiving.com,http://www.lumbalumbadiving.com,,
Minahasa Lagoon,,,minahasalagoon.com | danny@minahasalagoon.com,http://www.minahasalagoon.com,,
Nico Dives Cool Bali,,,nicodivescoolbali.com | nicodivescool@gmail.com,https://www.nicodivescoolbali.com,,
Ocean Dreams,,, | wickyrenaud@gmail.com,https://,,
OrcaNation Komodo,,, | eko@orcanation.org,https://,,
Panorama Dive Center,,, | jesuka@gmx.de,https://,,
PT Sea Rovers,,,searovers.net | paulmt@searovers.net,https://www.searovers.net,,
Reef Seen Divers Resort,,,reefseenbali.com | chris@reefseenbali.com,https://www.reefseenbali.com,,
Tasik Divers,,,tasikria.com | camilo@tasikria.com,http://www.tasikria.com,,
Two Fish,,,twofishdivers.com | diving@twofishdivers.com,http://www.twofishdivers.com,,
World Diving Lembongan,,,world-diving.com | info@world-diving.com,https://www.world-diving.com,,
Blue Marlin Dive,,,bluemarlindive.com/gili_air | info@bluemarlingiliair.com,https://www.bluemarlindive.com/gili_air/,,
Dune Aurora,,,atlantis-bali-diving.com | booking@dune-world.com,https://www.atlantis-bali-diving.com/,,
Gili View,,,gilifishing.weebly.com | giliview01@gmail.com,https://www.gilifishing.weebly.com,,
Komodo Resort & Diving Club,,,komodoresort.com | diving@komodoresort.com,https://www.komodoresort.com,,
Koperasi Jasa Wisata,,,facebook.com/profile.php?id=100094296091979&mibextid=ZbWKwL | kop.jasawisatagbbt@gmail.com,https://www.facebook.com/profile.php?id=100094296091979&mibextid=ZbWKwL,,
Lombok Sensasional,,,facebook.com/lomboksensasional?mibextid=ZbWKwL | giliactivities@gmail.com,https://www.facebook.com/lomboksensasional?mibextid=ZbWKwL,,
Mocean Dive Resort,,,moceandive.com | bookings@moceandive.com,https://www.moceandive.com,,
Omboq,,,facebook.com/profile.php?id=100077896764669&mibextid=ZbWKwL | hafizudinharbi4@gmail.com,https://www.facebook.com/profile.php?id=100077896764669&mibextid=ZbWKwL,,
Reconnect - Private Island Resort,,,reconnect.id | hi@reconnect.id,https://www.reconnect.id,,
Taman Laut Pandanan,,,tamanlautpandanan.blogspot.com | tamanlautpandanan@gmail.com,https://tamanlautpandanan.blogspot.com/,,
