centre_name,stamp_image,location,contacts,site_link,latitude,longitude
Cebu Fun Divers,gf_stamp_gold.png,,cebufundivers.com | info@cebufundivers.com,https://cebufundivers.com/,,
Savedra Dive Center,gf_stamp_gold.png,,savedra.com | info@savedra.com,https://www.savedra.com,,
June Dive Resort,gf_stamp_silver.png,,junedive.com | styxguy@gmail.com,http://www.junedive.com/,,
Lion Dive Centre,gf_stamp_silver.png,,liondivecentre.com | liondivecentre@gmail.com,http://www.liondivecentre.com/,,
MB Ocean Blue / Blue Ring,gf_stamp_silver.png,,moalboaldive.com | dive1@naver.com,https://www.moalboaldive.com,,
Ocean Passion,gf_stamp_silver.png,,seaquestdivecenter.ph | moalboal@seaquestdivecenter.ph,https://www.seaquestdivecenter.ph,,
CLUB PARADISE DIVERS,gf_stamp_gold.png,,discoveryfleet.com | info@clubparadisedivers.com,https://www.discoveryfleet.com,,
Corto Divers,gf_stamp_silver.png,,cortodivers.com | cortodivers@cortodelmar.com,https://www.cortodivers.com,,
French Kiss Divers Coron,gf_stamp_silver.png,,coron-plongee.com | duazojes33@gmail.com,https://www.coron-plongee.com/,,
MDI DIVERS,gf_stamp_silver.png,,mdidiverscenter.com | mdidivers1234@gmail.com,https://www.mdidiverscenter.com,,
Safety Stop Dive Shop,gf_stamp_silver.png,,safetystopdiveshop.com | safetystopdiveshop@gmail.com,https://www.safetystopdiveshop.com,,
Sangat Island Dive Resort,gf_stamp_silver.png,,sangat.com.ph | dive@sangat.ph,https://www.sangat.com.ph,,
Pirate Divers Busuanga,gf_stamp_bronze.png,,piratediverscoron.com | info@piratediverscoron.com,https://www.piratediverscoron.com,,
Evolution,gf_stamp_gold.png,,evolution.com.ph | info@evolution.com.ph,https://evolution.com.ph/,,
Thresher Shark Divers,gf_stamp_gold.png,,malapascua-diving.com | dive@thresherdivers.com,https://malapascua-diving.com/,,
Devocean Divers,gf_stamp_silver.png,, | malapascua@devoceandivers.com,https://,,
Malapascua Scuba Eco-Adventures,gf_stamp_silver.png,,malapascuascuba.com | malapascubascuba@gmail.com,https://www.malapascuascuba.com,,
Dan's Dive,gf_stamp_bronze.png,,dansdives.com | dansdives@gmail.com,http://www.dansdives.com,,
Arkipelago Divers & Beach Resort,gf_stamp_silver.png,,arkipelagodivers.com/en | reservations@arkipelagodivers.com,https://www.arkipelagodivers.com/en/,,
Mindoro Coral Reef Safari,gf_stamp_silver.png,,coralreefsafari.eco/safaris/mindoro-coral-reef-safari | mindoro@coralreefsafari.eco,https://coralreefsafari.eco/safaris/mindoro-coral-reef-safari/,,
Scandi Divers,gf_stamp_silver.png,,scandinaviandivers.com | Info@ScandiDivers.com,http://www.scandinaviandivers.com,,
Reef Encounters,gf_stamp_bronze.png,,reef-encounters.ph@gmail.com | reefencounters.ph@gmail.com,https://www.reef-encounters.ph@gmail.com,,
Blue Revival Diving College,gf_stamp_silver.png,,dive-bohol.com | bluerevivaldive@gmail.com,https://www.dive-bohol.com,,
Valm Divers,gf_stamp_silver.png,,valmdiversbohol.com | info@valmdiversbohol.com,https://www.valmdiversbohol.com,,
Ecological Divers Diving Center,gf_stamp_silver.png,,boholecodivers.com | boholecodivers@gmail.com,https://www.boholecodivers.com,,
MARIO DIVE RESORT,gf_stamp_silver.png,,mariodivingbohol@yahoo.com | mariodivingbohol@yahoo.com,https://www.mariodivingbohol@yahoo.com,,
Seaflower Dive,gf_stamp_digital.png,,seaflowerdive.com | mrgomc@gmail.com,https://www.seaflowerdive.com,,
Go Paradise Travel & Tours,gf_stamp_bronze.png,,goparadise.biz | info@goparadise.org,https://www.goparadise.biz,,
