centre_name,stamp_image,location,contacts,site_link,latitude,longitude
Blue View Divers,gf_stamp_gold.png,,blueviewdivers.com | blueviewdivers@gmail.com,https://www.blueviewdivers.com,,
Barakuda Dive Center,gf_stamp_silver.png,,barakudaphiphi.com | divebarakuda@gmail.com,https://www.barakudaphiphi.com,,
Phi Phi Cabana Diving,gf_stamp_silver.png,,phiphicabanadiving.com | info@phiphicabanadiving.com,https://phiphicabanadiving.com/,,
PKT DIVING,gf_stamp_silver.png,,pktdiving.com | woodyphotogaphy36@gmail.com,https://www.pktdiving.com,,
Princess Divers,gf_stamp_silver.png,,princessdivers.com | info@princessdivers.com,https://www.princessdivers.com,,
The Adventure Club Phi Phi,gf_stamp_silver.png,,adventureclubthailand.com | info@adventureclubthailand.com,https://www.adventureclubthailand.com/,,
Aloha Diving,gf_stamp_digital.png,,alohadiving.com | info@alohadiving.com,https://alohadiving.com,,
Assava Dive Resort,gf_stamp_digital.png,,assavadiveresort.com | info@assavadiveresort.com,https://www.assavadiveresort.com,,
Bigbubble Dive Resort,gf_stamp_digital.png,,divingatkohtao.com | bigbubbleofficial1994@gmail.com,https://www.divingatkohtao.com,,
Master Divers,gf_stamp_digital.png,,master-divers.com | info@master-divers.com,https://master-divers.com/,,
Seashell Divers,gf_stamp_digital.png,,seashelldivers.com | kohtaoseashell@gmail.com,https://www.seashelldivers.com,,
The Coral Tribe,gf_stamp_digital.png,,thecoraltribe.com | jenny@thecoraltribe.com,https://www.thecoraltribe.com,,
Fast Manta Diving Krabi,gf_stamp_digital.png,,fastmanta.com | info@fastmanta.com,https://www.fastmanta.com,,
Local Diving Krabi,gf_stamp_digital.png,,krabilocaldiving.com | localdivingkrabi@gmail.com,https://www.krabilocaldiving.com,,
Pattaya Dive Centre,gf_stamp_digital.png,,divecentrepattaya.com | info@divepattaya.com,https://www.divecentrepattaya.com,,
Pattaya Scuba Adventures,gf_stamp_digital.png,,pattaya-scuba-adventures.com | info@pattaya-scuba-adventures.com,https://www.pattaya-scuba-adventures.com,,
Phoenix Divers Koh Lanta,gf_stamp_digital.png,,phoenixdivers-kohlanta.com | info@phoenixdivers-kohlanta.com,https://www.phoenixdivers-kohlanta.com,,
Adang Sea Tour,,,adangseatour.com | noo_inn@hotmail.com,http://www.adangseatour.com,,
Adventure Divers Pattaya,,,pattayadivers.com | ,http://www.pattayadivers.com/,,
Amity Diving Club,,,amitydivingclub.com | amitydivingclub@gmail.com,https://www.amitydivingclub.com,,
Andaman Diving Safari,,,andaman-safari.com | info@andaman-safari.com,http://www.andaman-safari.com,,
Andavaree,,,facebook.com/andavaree.speedboat | andavaree@hotmail.com,https://www.facebook.com/andavaree.speedboat/,,
Ao Nang Divers,,,aonang-divers.com | info@krabi-seaview.com,http://www.aonang-divers.com,,
Ao Nang Scuba Center,,,aonangscuba.com | suwat@aonangscuba.com,http://www.aonangscuba.com,,
Aqua Divers Mai Khao,,,aquadivers.com | mike@aquadivers.com,http://www.aquadivers.com,,
Aqua Raya,,,facebook.com/people/Aqua-raya/100057464079277 | aquaraya2012@gmail.com,https://www.facebook.com/people/Aqua-raya/100057464079277/,,
Aqua Vision Dive Center,,,aqua-vision.net | info@aqua-vision.net,http://www.aqua-vision.net,,
Aquamarine Divers,,,philkade.com | admin@philkade.com,http://www.philkade.com,,
Ban Raya Travel and Tour,,,banrayaresort.com | banraya_reservation@hotmail.com,http://banrayaresort.com/,,
Beachfront Divers,,,beachfrontdivers.com | beachfrontdivers@gmail.com,http://www.beachfrontdivers.com/,,
Blue Dimond Dive Resort,,, | info@bluediamond-diving.com,https://,,
Blue Guru Diving,,,blue-guru.org | helen@blue-guru.org,http://www.blue-guru.org,,
Bubble Blue,,, | ,https://,,
Bungalow Raya Resort,,,rayaresort.net | info@rayaresort.net,http://www.rayaresort.net/,,
Chaloklum Diving,,,chaloklum-diving.com | info@chaloklum-diving.com,http://www.chaloklum-diving.com/,,
"Colona Diving & Tour Co.,Ltd.",,,doct-phuket.org | info@doct-phuket.org,http://www.doct-phuket.org,,
Coral Diving Krabi Resort,,,coral-diving.com | info@coral-diving.com,http://www.coral-diving.com,,
Coral Reef Institute Inc.,,,coralreefinstitute.org | savetheocean@coralreefinstitute.org,http://www.coralreefinstitute.org,,
Dive Asia,,,diveasia.com | info@diveasia.com,http://www.diveasia.com,,
Dive Down Phuket,,,divedownphuket.com | info@divedownphuket.com,http://www.divedownphuket.com/,,
Dive Master,,,divemaster.net | phuket@divemaster.net,http://www.divemaster.net,,
Fantasea Divers (Ocean Rover),,, | jeroen@ocean-rover.com,https://,,
Forra Diving,,,forradiving.com | forratravel-diving@hotmail.com,http://www.forradiving.com,,
Go Dive Lanta,,,godive-lanta.com | info@godive-lanta.com,http://www.godive-lanta.com,,
Haad Yao Divers,,,haadyaodivers.com | ,https://haadyaodivers.com/,,
Hidden Depths Diving,,,hiddendepthsdiving.com | info.hiddendepths@gmail.com,http://www.hiddendepthsdiving.com/,,
Indepth Instruction,,,indepth-instruction.com | chriso@loxinfo.co.th,http://www.indepth-instruction.com,,
Jomtien Dive Center Pattaya,,,jomtiendivecenter.com | info@jomtiendivecenter.com,https://www.jomtiendivecenter.com,,
Khao Lak Explorer,,,khaolakexplorer.com | info@khaolakexplorer.com,https://www.khaolakexplorer.com,,
Khao Lak Scuba Adventures,,,khaolakscubaadventures.com | ,http://www.khaolakscubaadventures.com/,,
Koh Lanta Diving Center,,,kolantadivingcenter.com | nfo@kolantadivingcenter.com,http://www.kolantadivingcenter.com,,
Koh Lipe Long Tail Boat Club,,, | ,https://,,
"Kon-Tiki Krabi Co.,Ltd.",,,kontiki-thailand.com | info@kontiki-krabi.com,http://www.kontiki-thailand.com/,,
Le Mache,,, | thon@phuket-diving-thailand.com,https://,,
Liquid Adventure,,,liquid-adventure.com | info@liquid-adventure.com,http://www.liquid-adventure.com/,,
LV Diving Center,,,tommy-lvdive-resort.com | lvdiveshop@hotmail.com,http://www.tommy-lvdive-resort.com,,
Med Sye Tour,,,krabidir.com/medsye | medsyephuket@gmail.com,http://krabidir.com/medsye/,,
Nang Yuan Island Dive Resort,,,nangyuan.com | info@nangyuan.com,http://www.nangyuan.com,,
Nonthasak Marine,,,nonthasakmarine.com | info@nonthasakmarine.com,http://www.nonthasakmarine.com/,,
Octopus Divers,,,octopus-divers.com | info@octopus-divers.com,http://www.octopus-divers.com,,
Pakbara Travel,,,pakbaratravel.com | fory-far2@yahoo.com,http://www.pakbaratravel.com,,
Palm Beach Divers,,,palmbeachdivers.com | lisa@palmbeachdivers.com,http://www.palmbeachdivers.com,,
Pattaya Dive Centre,,,divecentrepattaya.com | info@divepattaya.com,https://www.divecentrepattaya.com/,,
Pattaya Scuba Adventure,,,pattaya-scuba-adventures.com | info@pattaya-scuba-adventures.com,https://www.pattaya-scuba-adventures.com,,
Petcherat Marina,,,samuispeedboat.com | dian@netvision.net.il,http://www.samuispeedboat.com,,
Phangan International Diving School,,,phanganist.com/content/phangan-international-diving-school | ,https://phanganist.com/content/phangan-international-diving-school,,
Pirates Trip,,,facebook.com/piratetourskohlipe | andamansaa71@hotmail.com,https://www.facebook.com/piratetourskohlipe/,,
PKT Diving (Racha),,,pkt-diving.com/linkUs.html | racha.pktdiving@hotamail.com,http://www.pkt-diving.com/linkUs.html,,
Planet Scuba,,,planet-scuba.net/kohtao | manager-kohtao@planet-scuba.net,http://www.planet-scuba.net/kohtao,,
Poseidon Center,,,poseidon-krabi.com | poseidon@arcormail.de,http://www.poseidon-krabi.com,,
Projects Abroad Thailand,,,projects-abroad.org/volunteer-destinations/volunteer-thailand/projects-abroad-in-thailand | diegofernandez@projects-abroad.org,http://www.projects-abroad.org/volunteer-destinations/volunteer-thailand/projects-abroad-in-thailand,,
Rak Talay,,,raktalaytravel.com | raktalay9@yahoo.com,http://www.raktalaytravel.com/,,
Raya Dive Center,,,rayadivecenter.com | rayadivecenter@hotmail.com,http://www.rayadivecenter.com/,,
Raya Father,,, | raya_father@hotmail.com,https://,,
Raya Princess Tour,,,facebook.com/HalaltourwithRayaPrincessTour | hui614@gmail.com,https://www.facebook.com/HalaltourwithRayaPrincessTour/,,
Raya Scuba,,,facebook.com/pg/rayascubaracha/about/?ref=page_internal | rayascuba@hotmail.com,https://www.facebook.com/pg/rayascubaracha/about/?ref=page_internal,,
Rayaburi Resort,,,rayaburiresort.com | contact@rayaburiresort.com,https://www.rayaburiresort.com,,
Reef Dive Centre,,,reefdivecentre.com | info@reefdivecentre.com,https://www.reefdivecentre.com,,
Rumblefish Adventure,,,rumblefishadventure.com | info@rumblefishadventure.com,http://rumblefishadventure.com/,,
Sabina Tour,,,sabinatour.com | info@sabinatour.com,https://www.sabinatour.com,,
Safari Boat,,,safariboat.info | tomas@safariboat.info,http://safariboat.info/,,
Salakphet Seafood & Resort,,,kohchangsalakphet.com | ,https://www.kohchangsalakphet.com/,,
Samui Easy Divers,,,easydivers-thailand.com | info@easydivers-thailand.com,http://www.easydivers-thailand.com,,
Satun C.P.S. Travel,,,facebook.com/satuncpstravel | satuncpstravel@yahoo.com,https://www.facebook.com/satuncpstravel/,,
Satun Dive & Tour,,,satundive.net | yid1973@hotmail.com,http://www.satundive.net,,
Scool Diver,,,scooldivers.com | info@scooldivers.com,http://www.scooldivers.com,,
Sea Bees Diving,,,sea-bees.com | holger@see-bees.com,http://www.sea-bees.com,,
Sea Dragon Dive Center,,,seadragondivecenter.com | info@seadragondivecenter.com,http://www.seadragondivecenter.com,,
Sea Fan Dive Center,,,aonangscuba.com | suwat@aonangscuba.com,http://www.aonangscuba.com,,
Sea King Divers,,,seaking-diving.com | info@seaking-diving.com,http://www.seaking-diving.com,,
Seafari DIve Center,,,seafari.co.th | diving@seafari.co.th,http://seafari.co.th/,,
SeaStar,,,seastarandaman.com | be-able@hotmail.com,https://seastarandaman.com/,,
Similan Diving Safaris,,,similan-diving-safaris.com | info@similan-diving-safaris.com,http://www.similan-diving-safaris.com/,,
Similan Queen Diving Center,,,similanqueendiving.com | info@similanqueendiving.com,https://similanqueendiving.com/,,
Similan Scuba Adventure,,,"diversland.com, similan-scuba.com | info@diversland.com","http://www.diversland.com, http://www.similan-scuba.com",,
South Siam Divers,,,southsiamdivers.com | info@southsiamdivers.com,http://www.southsiamdivers.com,,
Tarutao Marine,,,tarutaodivers.com | ,https://tarutaodivers.com/,,
Thailand Diving,,,thailand-diving.org | infos@thailand-diving.org,http://www.thailand-diving.org,,
Thaplamu Andaman Tour,,,thaplamu.com/lang/en | toursimilan@hotmail.com,http://www.thaplamu.com/lang/en,,
The Dive Academy,,, | info@thediveacademysamui.com,https://,,
The Smiling Seahorse,,,thesmilingseahorse.com | info@thesmilingseahorse.com,https://www.thesmilingseahorse.com,,
Wicked Divers,,,wickeddiving.com/wd-locations/khao-lak | rhymenocerous@gmail.com,http://wickeddiving.com/wd-locations/khao-lak/,,
Adang Sea Divers,,,adangseadivers.com | adangseadivers@gmail.com,https://www.adangseadivers.com,,
Asia Divers Thailand,,,asia-divers.com | kohtaoasiaresort@gmail.com,http://www.asia-divers.com,,
Ban's Diving Resort,,,bansdivingresort.com | reservation_bans@hotmail.com,https://www.bansdivingresort.com,,
Big Blue,,,bigblueconservation.com | info@bigbluediving.com,http://www.bigblueconservation.com/,,
Black Turtle Dive,,,blackturtledive.com | info@blackturtledive.com,https://www.blackturtledive.com,,
Buddha View,,,buddhaviewdivecentre.com | info@buddhaviewdivecentre.com,https://www.buddhaviewdivecentre.com/,,
Carabao Diving Resort,,,carabaodivingkohtao.com | reservation@carabaodivingkohtao.com,https://www.carabaodivingkohtao.com/,,
Coral Grand Divers,,,coralgranddivers.com/collections/scuba-diving# | elise@coralgranddivers.com,https://coralgranddivers.com/collections/scuba-diving#,,
Crystal Dive Resort,,,crystaldive.com | carsten@crystaldive.com,http://www.crystaldive.com,,
Czone Diver,,,czonediver.com | czonedive@gmail.com,http://www.czonediver.com,,
Davy Jones Locker Diving,,,davyjoneslocker.asia | info@davyjoneslocker.asia,https://www.davyjoneslocker.asia/,,
Divepoint,,,divepoint-kohtao.com/index.php/en | diving@divepointkohtao.com,https://www.divepoint-kohtao.com/index.php/en/,,
Eco Koh Tao,,,ecokohtao.com | info@ecokohtao.com,https://www.ecokohtao.com/,,
Escape Divers,,,EscapeDivers.pro | info@escapedivers.pro,https://www.EscapeDivers.pro,,
French Kiss Divers Koh Tao,,,frenchkissdivers.com | frenchkissdivers@gmail.com,https://www.frenchkissdivers.com/,,
Goodtime,,,goodtimethailand.com | info@goodtimethailand.com,https://www.goodtimethailand.com,,
Hydronauts Diving Resort,,,hydronautsdiving.com | info@hydronautsdiving.com,https://www.hydronautsdiving.com,,
Impian Divers,,,impiandivers.com | booking@impian-divers.com,http://impiandivers.com,,
Koh Tao Scuba Club,,,kohtaoscubaclub.com | kohtaoscubaclub@gmail.com,https://www.kohtaoscubaclub.com,,
Ocean Republic Diving,,,oceanrepublicdiving.com | oceanrepublicdiving@gmail.com,https://www.oceanrepublicdiving.com/,,
Phoenix Divers,,,phoenixdiverskohtao.com | info@phoenixdiverskohtao.com,http://www.phoenixdiverskohtao.com/,,
Pimp My Dive,,,pimpmydive.net | info@pimpmydive.net,https://www.pimpmydive.net,,
Roctopus Dive Center,,,roctopusdive.com | info@roctopusdive.com,https://www.roctopusdive.com/,,
Scuba Mhee Freediving,,,scubamheefreediving.wordpress.com | scubamheefreediving@gmail.com,https://scubamheefreediving.wordpress.com/,,
Seastar Andaman,,,seastarandaman.com | info@seastarandaman.com,https://www.seastarandaman.com,,
Siam Scuba Dive Center,,,siamscuba.com | info@siamscuba.com,http://www.siamscuba.com,,
Simple Life Divers,,,simplelifedivers.com | info@simplelifedivers.com,https://simplelifedivers.com/,,
