label,region,name,certification_level,website,email,latitude,longitude,geocoding_status
Green Fins,Moalboal,Cebu Fun Divers,certified gold member,https://cebufundivers.com/,info@cebufundivers.com,9.9436213,123.3688108,OK
Green Fins,Moalboal,Savedra Dive Center,certified gold member,https://www.savedra.com,info@savedra.com,9.9489353,123.3660847,OK
Green Fins,Moalboal,Amigos Dive Center,certified silver member,https://diveinamigos.com/,diveinamigos@gmail.com,9.9491032,123.3658329,OK
Green Fins,Moalboal,June Dive Resort,certified silver member,http://www.junedive.com/,styxguy@gmail.com,,,REQUEST_DENIED
Green Fins,Moalboal,Lion Dive Centre,certified silver member,http://www.liondivecentre.com/,liondivecentre@gmail.com,,,REQUEST_DENIED
Green Fins,Moalboal,MB Ocean Blue / Blue Ring,certified silver member,https://www.moalboaldive.com,dive1@naver.com,9.949649100000002,123.3655274,OK
Green Fins,Moalboal,Ocean Passion,certified silver member,https://www.seaquestdivecenter.ph,moalboal@seaquestdivecenter.ph,9.9502755,123.3658118,OK
Green Fins,Coron,CLUB PARADISE DIVERS,certified gold member,https://www.discoveryfleet.com,info@clubparadisedivers.com,12.2325755,120.0892923,OK
Green Fins,Coron,Corto Divers,certified silver member,https://www.cortodivers.com,cortodivers@cortodelmar.com,12.00089,120.1996336,OK
Green Fins,Coron,French Kiss Divers Coron,certified silver member,https://www.coron-plongee.com/,duazojes33@gmail.com,12.000544,120.2005077,OK
Green Fins,Coron,MDI DIVERS,certified silver member,https://www.mdidiverscenter.com,mdidivers1234@gmail.com,12.0012649,120.2006395,OK
Green Fins,Coron,Safety Stop Dive Shop,certified silver member,https://www.safetystopdiveshop.com,safetystopdiveshop@gmail.com,11.9988997,120.2022431,OK
Green Fins,Coron,Sangat Island Dive Resort,certified silver member,https://www.sangat.com.ph,dive@sangat.ph,,,REQUEST_DENIED
Green Fins,Coron,Pirate Divers Busuanga,certified bronze member,https://www.piratediverscoron.com,info@piratediverscoron.com,12.0313489,119.9849223,OK
Green Fins,Malapascua Island,Evolution,certified gold member,https://evolution.com.ph/,info@evolution.com.ph,11.3291463,124.1211471,OK
Green Fins,Malapascua Island,Thresher Shark Divers,certified gold member,https://malapascua-diving.com/,dive@thresherdivers.com,11.3271045,124.1151953,OK
Green Fins,Malapascua Island,Devocean Divers,certified silver member,https://,malapascua@devoceandivers.com,11.3358464,124.1156362,OK
Green Fins,Malapascua Island,Malapascua Scuba Eco-Adventures,certified silver member,https://www.malapascuascuba.com,malapascubascuba@gmail.com,11.329882,124.1211321,OK
Green Fins,Malapascua Island,Dan's Dive,certified bronze member,http://www.dansdives.com,dansdives@gmail.com,11.3358464,124.1156362,OK
Green Fins,Puerto Galera,Arkipelago Divers & Beach Resort,certified silver member,https://www.arkipelagodivers.com/en/,reservations@arkipelagodivers.com,13.5230974,120.9710025,OK
Green Fins,Puerto Galera,Mindoro Coral Reef Safari,certified silver member,https://coralreefsafari.eco/safaris/mindoro-coral-reef-safari/,mindoro@coralreefsafari.eco,13.5206262,120.975038,OK
Green Fins,Puerto Galera,Scandi Divers,certified silver member,http://www.scandinaviandivers.com,Info@ScandiDivers.com,13.524726,120.9679502,OK
Green Fins,Puerto Galera,Reef Encounters,certified bronze member,https://www.reef-encounters.ph@gmail.com,reefencounters.ph@gmail.com,13.5217656,120.9729345,OK
Green Fins,Panglao Island,Blue Revival Diving College,certified silver member,https://www.dive-bohol.com,bluerevivaldive@gmail.com,9.5534135,123.7848413,OK
Green Fins,Panglao Island,Valm Divers,certified silver member,https://www.valmdiversbohol.com,info@valmdiversbohol.com,9.5486308,123.7733949,OK
Green Fins,Bohol,Ecological Divers Diving Center,certified silver member,https://www.boholecodivers.com,boholecodivers@gmail.com,9.549390299999999,123.7567867,OK
Green Fins,Bohol,MARIO DIVE RESORT,certified silver member,https://www.mariodivingbohol@yahoo.com,mariodivingbohol@yahoo.com,9.597533199999999,123.7538182,OK
Green Fins,Bohol,Seaflower Dive,digital member,https://www.seaflowerdive.com,mrgomc@gmail.com,9.5487035,123.7694947,OK
Green Fins,El Nido,Go Paradise Travel & Tours,certified bronze member,https://www.goparadise.biz,info@goparadise.org,11.1799144,119.3896229,OK
Green Fins,El Nido,Krischana travel and tours,certified bronze member,https://www.facebook.com/krischanatravelagencyElnidopalawan,chadalpas84@gmail.com,11.1802414,119.3872474,OK
Green Fins,El Nido,Spider Travel and Tours,certified bronze member,https://www.facebook.com/SpiderTravelTour,spidertravelandtours@outlook.com,11.1812113,119.3912548,OK
