centre_name,stamp_image,location,contacts,site_link,latitude,longitude
Cebu Fun Divers,gf_stamp_gold.png,,cebufundivers.com | info@cebufundivers.com,https://cebufundivers.com/,9.9436213,123.3688108
Savedra Dive Center,gf_stamp_gold.png,,savedra.com | info@savedra.com,https://www.savedra.com,9.9489353,123.3660847
June Dive Resort,gf_stamp_silver.png,,junedive.com | styxguy@gmail.com,http://www.junedive.com/,9.950930999999999,123.365626
Lion Dive Centre,gf_stamp_silver.png,,liondivecentre.com | liondivecentre@gmail.com,http://www.liondivecentre.com/,9.9504936,123.366767
MB Ocean Blue / Blue Ring,gf_stamp_silver.png,,moalboaldive.com | dive1@naver.com,https://www.moalboaldive.com,9.949649100000002,123.3655274
Ocean Passion,gf_stamp_silver.png,,seaquestdivecenter.ph | moalboal@seaquestdivecenter.ph,https://www.seaquestdivecenter.ph,11.3282731,124.114067
CLUB PARADISE DIVERS,gf_stamp_gold.png,,discoveryfleet.com | info@clubparadisedivers.com,https://www.discoveryfleet.com,12.2325755,120.0892923
Corto Divers,gf_stamp_silver.png,,cortodivers.com | cortodivers@cortodelmar.com,https://www.cortodivers.com,12.0009143,120.1996437
French Kiss Divers Coron,gf_stamp_silver.png,,coron-plongee.com | duazojes33@gmail.com,https://www.coron-plongee.com/,12.000544,120.2005077
MDI DIVERS,gf_stamp_silver.png,,mdidiverscenter.com | mdidivers1234@gmail.com,https://www.mdidiverscenter.com,12.0012649,120.2006395
Safety Stop Dive Shop,gf_stamp_silver.png,,safetystopdiveshop.com | safetystopdiveshop@gmail.com,https://www.safetystopdiveshop.com,11.9988997,120.2022431
Sangat Island Dive Resort,gf_stamp_silver.png,,sangat.com.ph | dive@sangat.ph,https://www.sangat.com.ph,11.9634389,120.0704177
Pirate Divers Busuanga,gf_stamp_bronze.png,,piratediverscoron.com | info@piratediverscoron.com,https://www.piratediverscoron.com,12.0313489,119.9849223
Evolution,gf_stamp_gold.png,,evolution.com.ph | info@evolution.com.ph,https://evolution.com.ph/,48.8753964,2.3728717
Thresher Shark Divers,gf_stamp_gold.png,,malapascua-diving.com | dive@thresherdivers.com,https://malapascua-diving.com/,11.3271045,124.1151953
Devocean Divers,gf_stamp_silver.png,, | malapascua@devoceandivers.com,https://,11.3269177,124.1178487
Malapascua Scuba Eco-Adventures,gf_stamp_silver.png,,malapascuascuba.com | malapascubascuba@gmail.com,https://www.malapascuascuba.com,11.329882,124.1211321
Dan's Dive,gf_stamp_bronze.png,,dansdives.com | dansdives@gmail.com,http://www.dansdives.com,43.170815,-79.2268316
Arkipelago Divers & Beach Resort,gf_stamp_silver.png,,arkipelagodivers.com/en | reservations@arkipelagodivers.com,https://www.arkipelagodivers.com/en/,13.5230974,120.9710025
Mindoro Coral Reef Safari,gf_stamp_silver.png,,coralreefsafari.eco/safaris/mindoro-coral-reef-safari | mindoro@coralreefsafari.eco,https://coralreefsafari.eco/safaris/mindoro-coral-reef-safari/,13.5206262,120.975038
Scandi Divers,gf_stamp_silver.png,,scandinaviandivers.com | Info@ScandiDivers.com,http://www.scandinaviandivers.com,13.524726,120.9679502
Reef Encounters,gf_stamp_bronze.png,,reef-encounters.ph@gmail.com | reefencounters.ph@gmail.com,https://www.reef-encounters.ph@gmail.com,-16.9179317,145.7743465
Blue Revival Diving College,gf_stamp_silver.png,,dive-bohol.com | bluerevivaldive@gmail.com,https://www.dive-bohol.com,9.5534146,123.7848505
Valm Divers,gf_stamp_silver.png,,valmdiversbohol.com | info@valmdiversbohol.com,https://www.valmdiversbohol.com,9.5486308,123.7733949
Ecological Divers Diving Center,gf_stamp_silver.png,,boholecodivers.com | boholecodivers@gmail.com,https://www.boholecodivers.com,28.0300052,-16.5947299
MARIO DIVE RESORT,gf_stamp_silver.png,,mariodivingbohol@yahoo.com | mariodivingbohol@yahoo.com,https://www.mariodivingbohol@yahoo.com,9.597533199999999,123.7538182
Seaflower Dive,gf_stamp_digital.png,,seaflowerdive.com | mrgomc@gmail.com,https://www.seaflowerdive.com,9.5487035,123.7694947
Go Paradise Travel & Tours,gf_stamp_bronze.png,,goparadise.biz | info@goparadise.org,https://www.goparadise.biz,11.1799265,119.3896193
Krischana travel and tours,gf_stamp_bronze.png,,facebook.com/krischanatravelagencyElnidopalawan | chadalpas84@gmail.com,https://www.facebook.com/krischanatravelagencyElnidopalawan,11.1802414,119.3872474
Spider Travel and Tours,gf_stamp_bronze.png,,facebook.com/SpiderTravelTour | spidertravelandtours@outlook.com,https://www.facebook.com/SpiderTravelTour,11.181162,119.3912714
Tarawis El Nido Island Tours,gf_stamp_bronze.png,,tarawiselnidoislandtours.com | tarawiselnidoislandtours19@gmail.com,https://www.tarawiselnidoislandtours.com,11.1784552,119.390019
Bongo Bongo divers,gf_stamp_digital.png,,divebongo.com | ask@divebongo.com,https://divebongo.com,9.187629,123.2655698
Marine Conservation Philippines,gf_stamp_digital.png,,marineconservationphilippines.org | info@mcp.email,https://www.marineconservationphilippines.org,9.0802631,123.1509094
Last Frontier Dive,gf_stamp_digital.png,,lastfrontierdive.com | info@lastfrontierdive.com,https://www.lastfrontierdive.com,9.150221499999999,123.5010351
Adventure Scuba,,,elnidoadventurescuba.com | bgmalana@yahoo.com,http://www.elnidoadventurescuba.com/,40.7788844,-73.9451911
ALDIVE resort,,,aldivedumaguete.com | info@aldivedumaguete.com,https://www.aldivedumaguete.com,9.1732183,123.252152
Alegria Dive Resort,,,alegriadiveresort.com | info@alegriadiveresort.com,https://alegriadiveresort.com/,9.787493699999999,123.345989
Alexzus Booking Office,,, | suladkristinegrace@yahoo.com,https://,,
alexzus travel and tours,,,facebook.com/kristinegrace.sulad?mibextid=avESrC | ibonjoannerachel@gmail.com,https://www.facebook.com/kristinegrace.sulad?mibextid=avESrC,11.1805454,119.3893187
All (Four) Seasons Beach Resort Booking Office,,, | jrkim_18@yahoo.com,https://,25.2023141,55.2402131
Alona Divers Diving School,,,alona-divers.com/default.asp | alonadivers@hotmail.com,http://www.alona-divers.com/default.asp,9.5482927,123.7717608
Anilao Scuba Dive Center,,,facebook.com/AnilaoScubaDiveCenter | anilaoscubadivecenter@gmail.com,https://www.facebook.com/AnilaoScubaDiveCenter/,13.7564122,120.9162784
APT Travel Inc. El Nido branch,,,facebook.com/APTTravelsInc | vatolentino@apttravels.com.ph,https://www.facebook.com/APTTravelsInc,11.1805691,119.3896069
Asia Divers Philippines,,,asiadivers.com | admin@asiadivers.com,http://www.asiadivers.com/,13.5225036,120.9724249
BadLadz,,,badladz.com | divebadladz@gmail.com,http://badladz.com,13.4889605,120.9600009
Beachfront Travel and Tour,,,facebook.com/beachfronttravelandtour?mibextid=ZbWKwL | beachfrontelnido@yahoo.com,https://www.facebook.com/beachfronttravelandtour?mibextid=ZbWKwL,11.1633874,119.398163
